path,label,blockiness,blur,edge_density,fft_angular_entropy,fft_aniso,fft_high_low_ratio,fft_highfreq_ratio,fft_peak_ratio,glcm_contr_d1_mean,glcm_contr_d3_mean,glcm_corr_d1_mean,glcm_corr_d3_mean,glcm_diss_d1_aniso,glcm_diss_d1_mean,glcm_diss_d1_std,glcm_diss_d3_aniso,glcm_diss_d3_mean,glcm_diss_d3_std,glcm_energy_d1_mean,glcm_energy_d3_mean,glcm_homo_d1_mean,glcm_homo_d3_mean,hist_entropy,homo_cv_w15_mean,homo_cv_w15_std,homo_cv_w31_mean,homo_cv_w31_std,homo_std_w15_mean,homo_std_w31_mean,lbp_r1_hist_entropy,lbp_r1_mean,lbp_r1_nonuniform_ratio,lbp_r1_std,lbp_r2_mean,lbp_r2_nonuniform_ratio,lbp_r2_std,lbp_ror_r1_std,noise,overall,pore_density_r2,pore_density_r4,pore_tophat_r2_mean,pore_tophat_r2_std,pore_tophat_r4_mean,pore_tophat_r4_std,rank_entropy_median,rank_entropy_std,sharpness,sigma_est,sobel_mean,sobel_skew,sobel_std,spectral_slope_beta
silicone_2025_12_19(3).png,silicone,1.7493396282196045,81.94872773048682,0.051078174327144316,0.9909971783557961,0.009002821644203851,0.02996340683054382,0.03444421910005998,1.822245371208388e-06,2.005769122440138,6.753407167623195,0.9869982335413443,0.9560301582453407,0.12585357382064188,0.7921028791167886,0.12585357382064188,0.07751511330747188,1.497487068211124,0.07751511330747188,0.11898306450385407,0.09649616130811106,0.690063434621406,0.5431556243977109,3.7663232739895003,0.07934900284285391,0.10192258570319304,0.11678697553025735,0.1027837830503931,11.423262833940207,17.840764729654747,3.0685125834286584,4.879512012413719,0.09315640216169939,2.282411106147281,4.947519931510514,0.15062336133554496,2.5812841480975774,68.9710660555905,0.8586886525154114,0.368403729640318,0.12186847878431163,0.12285301514259725,1.333640109155118,2.4578834593523418,2.758242816630103,4.136311698354922,4.0681340179067025,0.7751182766410977,0.10823416870064298,0.0,29.486831364964367,4.521687852290829,35.944447448153184,3.449733947593117
silicone_2025_12_19(4).png,silicone,1.8440113067626953,344.1611395513528,0.06205789501846006,0.9822529649831107,0.017747035016889345,0.047447932895400016,0.057914499351461875,2.4136496223538098e-06,1.2202586205459873,4.008154705434755,0.990771025783187,0.9695757938040894,0.08128918581828606,0.5584179734703811,0.08128918581828606,0.06704516372335202,1.0588874664205696,0.06704516372335202,0.153203286363376,0.12846738100116895,0.7683367300555923,0.6434648958253233,4.067410252956399,0.09834691527105828,0.13778452586862155,0.15288859488753295,0.17295527751189615,11.867652163468808,18.977093895893145,3.1053145577085677,4.955631654984216,0.0996307988656429,2.3653464463462,5.011707421477874,0.15521429718015944,2.625625175355943,74.48655373481505,1.0198538303375244,0.6094451096647997,0.08498046979506661,0.09222537321419016,1.4110974369950238,2.8231833626961453,2.803574295039863,5.008776722176122,4.045745375676875,0.9155770696042205,0.45455244846405085,0.0,30.29796915557158,4.216627253795611,38.46615989885615,3.5206169902305353
silicone_2026_02_23(4).png,silicone,1.6799471855163575,118.76760647694911,0.033977205843009256,0.9451102258178146,0.054889774182185436,0.013403134971836416,0.014026076553232295,2.5108841064999804e-06,1.3032033573402797,4.484475419539521,0.9907602835259629,0.9679174451397597,0.07261213672565733,0.4130684530739076,0.07261213672565733,0.03904898542359729,0.8157416298515834,0.03904898542359729,0.20691540722297017,0.17945778020789988,0.8387589414066172,0.7352740875810038,3.8196980735585075,0.0737702047664974,0.1392129305240387,0.1151030107862498,0.17354797491768678,9.715428788081102,15.764477056525502,3.0063515357007504,5.092653432500401,0.08361068007919097,2.1908799885447414,5.092514313232383,0.15406923858954466,2.544612304836698,76.13172449033009,0.7477782964706421,0.4033944852798299,0.07546685215902403,0.0669163679169565,1.0235646637059232,2.447606280854552,2.075852105516614,4.112202295452316,3.584549304158475,0.8655515638248998,0.1568628764789894,0.0,24.143664185969456,7.047255680969452,44.53965891552898,3.726300566915376
silicone_2026_02_24(4).png,silicone,1.7073698043823242,81.43644155284355,0.04719353630477821,0.8884095980979417,0.11159040190205827,0.03594028025504797,0.040474796863618996,1.9728079935834046e-06,1.3669913102359326,4.604640094454423,0.9915194183577413,0.9713859065194111,0.11004766467792737,0.6488392063992119,0.11004766467792737,0.11134700288693895,1.2589388480665824,0.11134700288693895,0.1255159336483154,0.10288756447772301,0.7332928701203048,0.5868056935897541,4.219522728193901,0.0823999424942848,0.08090909928991526,0.1259736397604771,0.09646412984321927,11.05583358157076,17.621847743146596,2.980752947067601,4.840965273690406,0.08018620578950185,2.1474701556164506,4.886232543207234,0.13539515222858367,2.496187982820176,66.39876734125866,0.7754151225090027,0.368643879684762,0.11037508694954251,0.10488522660388463,1.2460912836427844,2.3862262041262605,2.5770667237412384,4.175427397709679,4.03128761547083,0.7806320385556585,0.10755756431507639,0.0,28.717221796407376,3.2198019914586036,30.92938505909406,3.7825265646883146
silicone_2026_03_08.png,silicone,1.6473396301269532,239.00456365957638,0.03841832093744983,0.9649299523100815,0.035070047689918504,0.02605431086031565,0.02831212190227019,3.2019799422442135e-06,2.4485195096124777,8.259768434618048,0.9828880140590862,0.9421478655595694,0.1324892451838979,0.8214831444386447,0.1324892451838979,0.06508331234423555,1.5730058153379214,0.06508331234423555,0.13664440125819985,0.11271459318422616,0.689336314166382,0.5401580069591718,3.6391557143305486,0.066025752312623,0.06325513290600787,0.0975950355191608,0.07271556112125706,8.767190983683593,13.459805059478999,3.040654922560712,4.906757985981058,0.08905773449622773,2.2326520590495846,5.0569532880303925,0.16645085344320187,2.6828924844382596,68.79159699530585,0.7521037459373474,0.5145198798467762,0.12835357697041042,0.11399218791802665,1.377751618599176,2.4456787594260074,2.709508266894965,3.688206032342773,3.865746253448432,0.7409773307942583,0.3156664048334028,0.0,25.246729498416347,3.546886576965762,25.836565441454916,3.7048941465761134
silicone_2026_03_25 (2).png,silicone,1.6780905723571777,370.5539716468494,0.049708384611268655,0.9790889995922125,0.020911000407787483,0.06367966293915951,0.07493347228474119,1.449200521617997e-06,2.710504994977406,7.611780176625687,0.976995735449895,0.9351117104123111,0.13375049211499632,0.9115974028466225,0.13375049211499632,0.08808707136337757,1.5687235009268443,0.08808707136337757,0.12183359911640956,0.10123410089811344,0.6665596161479801,0.544161510263781,3.546265867993352,0.0495226851976852,0.058478152222404954,0.06945044503099511,0.060577983518103055,8.34471684482952,12.106790590406296,3.194383905710725,5.154069238589544,0.13376852694098132,2.5748215222814763,5.307560597142705,0.21228530151425973,2.8711250905435866,78.0901102980538,0.9879905581474304,0.6341191436656617,0.0894215848895072,0.10588046444432554,1.5270158917010006,2.654389093259121,3.101129006367382,4.4869288712907585,3.7596549020602374,0.8949015058418323,0.48941090594866904,0.0,25.20631535749374,3.7241179405711207,32.07658722665776,3.3778206030609286
silicone_2026_03_25(4).png,silicone,1.7454415321350099,368.69841001848977,0.07964043019958264,0.8598353550138489,0.1401646449861511,0.117107313184418,0.17750063949080536,2.082251583219024e-06,2.009454733954227,5.310041379848694,0.9853182987208129,0.9609316966928327,0.10978527313050315,0.7822063860469792,0.10978527313050315,0.034575274920119824,1.248891285439786,0.034575274920119824,0.14660315251442035,0.1322658878339017,0.6976845188938472,0.6009211880793975,4.2089122715604,0.11605216015531522,0.15777829712001423,0.17490397259824186,0.2024596106480085,12.40190371283495,18.98872548734336,3.2506609679067746,5.052426561078709,0.15056985392476857,2.804062397566801,5.324040879661833,0.23050992562469902,3.0042865235857623,79.68442666760305,1.5248868465423584,0.6278016562381059,0.11169136925464176,0.11869013858419392,2.8125956444967626,4.301124908296236,4.9993365081063725,6.399998962343659,4.321531751326718,0.7720265002661171,0.48696016417536386,0.0,35.43443247388995,4.0044430519712,42.904436339632426,2.5921993010670623
silicone_2026_03_25.png,silicone,1.8381170272827148,49.827762188479,0.03303547541334475,0.8662493249327361,0.1337506750672639,0.00839792247507241,0.008547514870441659,2.066908376171317e-06,1.0748422589267728,4.078675112318383,0.9928426878074343,0.9727829521872364,0.09310504071706309,0.4931812087074311,0.09310504071706309,0.11500996844640064,1.050600320913304,0.11500996844640064,0.127041926209701,0.09999408435106658,0.7915908903925302,0.64052761674313,4.491073991792334,0.08958683602655378,0.10586735662047063,0.13657499799329034,0.12207737134270594,10.472088587809331,16.93894227996216,2.7776148108716177,4.828027181764674,0.05712451174487666,1.8890131458553658,4.777419872652362,0.10474610733586602,2.25278599564221,63.357211907755676,0.5025896430015564,0.3417592651372058,0.09615281716517737,0.09531810155706566,0.8089250361175023,1.925864897939106,2.015913103964899,3.8294969927176745,3.8753847602524623,0.8170493196945606,0.06581025194704773,0.0,25.65572782787086,3.992241136987565,30.23345681466442,3.8029783006672724
silicone_2026_03_31.png,silicone,1.6344264030456543,69.51828286665628,0.027320883942426027,0.924080394391086,0.07591960560891398,0.018619074270702387,0.019276159033035648,2.8794509312109117e-06,1.3049470883438687,4.326352342318779,0.9916032043646474,0.9720486751777676,0.0986247877854461,0.5620570916820519,0.0986247877854461,0.0880776475560999,1.099742728839419,0.0880776475560999,0.1362234096185291,0.11309006565150735,0.7677245791763266,0.6247920862387112,4.170698722279591,0.06370746636940455,0.07020677225873993,0.10031045158219473,0.08476904648660957,8.822266694271638,14.381162543500691,2.9594927683151946,4.917352453314784,0.07411846540745894,2.098991431026739,4.93850928353577,0.1359730322649687,2.480109054213087,68.74852085228359,0.6933773756027222,0.3583283853607721,0.13663652415859598,0.10705762748140618,1.0118251377815828,1.89736640778329,2.1287816362566216,3.3054017598372725,3.820453399436295,0.7861314656767102,0.0918166000125649,0.0,23.037244963765772,3.9234290196289345,25.262369409883625,2.8608548949646853
silicone_2026_04_01.png,silicone,1.7402905464172362,218.30564305444554,0.03642784525656804,0.907803142223587,0.09219685777641295,0.04034125704621491,0.04914758854660429,2.014261273237341e-06,1.9556660765560387,5.801992840969313,0.9851108624400908,0.955543770169965,0.11603653741370577,0.7066001703641966,0.11603653741370577,0.06541813588391522,1.3174224497571265,0.06541813588391522,0.13337914347154772,0.10919379939331669,0.7262429960991983,0.5869034846939974,3.7664843354260054,0.07723320789516334,0.07351020879465113,0.11653868195642389,0.08759267051739472,8.550768886364507,13.296266030058277,3.062748201004607,4.9692011343571085,0.09187222430306598,2.260681001432272,5.056525228744181,0.1625983198673016,2.6438383156995346,71.14758766292618,0.8155565857887268,0.49483926044438453,0.10735726898175398,0.10394349617422013,1.2701589170100058,2.3902499575226255,2.6134624645513402,3.993349203888116,3.858050702616749,0.7812763143658651,0.28832820780775825,0.0,23.53301668365144,4.777807365731828,27.29976095357575,3.355703832184106
