anchor_file,anchor_group,simulation,blur_sigma,jpeg_quality,scale,noise_sigma,gamma,glcm_asm_d1,glcm_energy_d1,glcm_correlation_d1,glcm_asm_d3,glcm_energy_d3,glcm_correlation_d3,glcm_energy_angle_iqr_d3,lbp_r1_hist_entropy,lbp_r1_nonuniform_fraction,lbp_r1_flat_fraction,lbp_r2_hist_entropy,lbp_r2_nonuniform_fraction,lbp_r3_hist_entropy,lbp_r3_nonuniform_fraction,local_entropy_r3,local_entropy_r5,shannon_entropy_q32,gabor_f08_energy,gabor_f16_energy,gabor_f24_energy,gabor_f08_anisotropy,gabor_f16_anisotropy,gabor_f24_anisotropy,gradient_orientation_entropy,gradient_orientation_anisotropy,structure_tensor_coherence,structure_tensor_coherence_p90,hog_orientation_entropy,hog_orientation_anisotropy,hog_mean_energy,black_tophat_density_r3,black_tophat_std_r3,blob_log_density,blob_log_radius_median,harris_corner_density,dog_zero_cross_density,morph_gradient_std,q_laplacian_var,q_tenengrad,q_noise_sigma,q_jpeg_blockiness,q_patch_count
real_1998_01_01.png,early_reference,b0_j95_s1_n0_g0.9,0.0,95,1.0,0.0,0.9,0.005606257483527542,0.0748514255443788,0.9468900073157305,0.00372901373197748,0.06099392030091322,0.8512212788657678,0.0025333564136902076,0.9689744720111161,0.12292729591836735,0.06983418367346939,0.9662739761149433,0.21348852040816327,0.9307404403568205,0.27598852040816324,0.5632526113534058,0.6499182788820443,0.9668213395636471,22.863834381103516,0.8936470448970795,0.20492344349622726,0.10821252529697165,0.32336967311912124,0.22459459502807677,0.9811964867623657,0.1402679425775034,0.6019370555877686,0.9751127660274506,0.9982811808586121,0.12556688860058784,0.3225502669811249,0.17075892857142858,1.887961208820343,0.01020408163265306,1.0,0.0,0.17694805194805194,3.329023241996765,64.47540651803611,702.6122436523438,2.0486056208610535,0.04955023527145386,8.0
real_1998_01_01.png,early_reference,b0_j95_s1_n0_g1.1,0.0,95,1.0,0.0,1.1,0.005418130779478665,0.07354854210391526,0.9446755627782073,0.003551137635102922,0.059506860567200504,0.8478111347433595,0.0025484298505247353,0.9708775078337617,0.11830357142857142,0.06919642857142858,0.9683217067986748,0.20471938775510204,0.9288130815137217,0.2771045918367347,0.5696272173498679,0.6538725764593099,0.9669141113257611,21.768223762512207,0.8574776500463486,0.22034583985805511,0.10852930496232793,0.31713716693016386,0.2490929172037354,0.9808293083113199,0.13960108382313238,0.6043384671211243,0.9716940522193909,0.9982862770557404,0.12613721936941147,0.32207635045051575,0.17394770408163265,1.926472008228302,0.014190051020408163,1.0,0.0,0.17516233766233769,3.3191559314727783,75.70056742104526,883.3768920898438,2.171555280685425,0.05943908169865608,8.0
real_1998_01_01.png,early_reference,b0_j95_s1_n4_g0.9,0.0,95,1.0,4.0,0.9,0.003584855583600166,0.05984277274984624,0.917490641735984,0.002888388010145994,0.05373050802187702,0.8263266864761023,0.0015745527387233359,0.9793529716569035,0.18877551020408162,0.1133609693877551,0.9390169692797731,0.2723214285714286,0.9196226167857146,0.30117984693877553,0.6154882792301255,0.6886392467180886,0.9705693248850797,22.944846630096436,0.8931946009397507,0.22865105420351028,0.10816483713509256,0.3270961241468864,0.22335685110798195,0.9852622507569939,0.13282465005698485,0.5371962189674377,0.9644497931003571,0.9990106523036957,0.1221526563167572,0.3246751129627228,0.1605548469387755,2.420828342437744,0.01833545918367347,1.0,0.0,0.19001623376623375,3.397296905517578,242.40191012330476,887.07080078125,3.38188898563385,0.02666767407208681,8.0
real_1998_01_01.png,early_reference,b0_j95_s1_n4_g1.1,0.0,95,1.0,4.0,1.1,0.0037913406134088314,0.06155115168777632,0.9195802822131663,0.0030530493977694462,0.055223204306878916,0.8266924124275294,0.0019309423416932966,0.9818037223307859,0.1876594387755102,0.11001275510204081,0.9454242672424631,0.25605867346938777,0.9196483397650134,0.303890306122449,0.6092045303020632,0.6873719886181737,0.9692558886794587,21.60293436050415,0.8603776842355728,0.2411663420498371,0.10851567838623663,0.30293607467134864,0.19957170410939823,0.9857788447085651,0.1294985820731307,0.5290751457214355,0.9588319659233093,0.999320924282074,0.12045954912900925,0.326103076338768,0.16230867346938777,2.3857669830322266,0.02072704081632653,1.0,0.0,0.19163961038961042,3.3134360313415527,245.62912420728014,1096.1185913085938,3.415143847465515,0.026894892565906048,8.0
real_1998_01_01.png,early_reference,b0_j95_s0.7_n0_g0.9,0.0,95,0.7,0.0,0.9,0.007346748280966656,0.08568763629111546,0.9672176042802191,0.004301873428243113,0.06547230945935378,0.875510713871654,0.003148976604751247,0.9175243035543785,0.08625637755102042,0.055803571428571425,0.9681907041453044,0.15035076530612246,0.950086698428315,0.22783801020408162,0.5197494319922132,0.6154553926448454,0.9662629051162037,22.86672592163086,0.8886643797159195,0.15083475783467293,0.10813578485500377,0.32771080506763084,0.1719019325209881,0.9737615479575654,0.14952699361530108,0.6915245354175568,0.9856020510196686,0.9962009191513062,0.1337554082274437,0.3134905993938446,0.1439732142857143,1.5250421166419983,0.0052614795918367345,2.0,0.0,0.1648538961038961,3.327345609664917,22.045335470165426,468.60618591308594,1.3550121784210205,0.061763444915413857,8.0
real_1998_01_01.png,early_reference,b0_j95_s0.7_n0_g1.1,0.0,95,0.7,0.0,1.1,0.007001166585239393,0.0836521811089421,0.9663513764166174,0.004082954197774477,0.06379590630986198,0.8763042672153702,0.00275062340600752,0.9140112683660039,0.08402423469387754,0.05293367346938775,0.9733866682256926,0.15290178571428573,0.9516420475356964,0.2265625,0.5299897192784951,0.6224195724704444,0.9685083266634373,21.782798290252686,0.8512823134660721,0.16396623849868774,0.10850931523513183,0.32242166140790507,0.20510139674913425,0.9745066835315039,0.15423670103979553,0.6939883232116699,0.9828749001026154,0.9970786273479462,0.1350608468055725,0.3128608465194702,0.14014668367346939,1.5449904799461365,0.006855867346938776,2.0,0.0,0.16420454545454544,3.3230892419815063,26.927409396475426,557.5947265625,1.4856846332550049,0.058525918051600456,8.0
real_1998_01_01.png,early_reference,b0_j95_s0.7_n4_g0.9,0.0,95,0.7,4.0,0.9,0.004001020307976357,0.06321692107503932,0.9345189268634552,0.003260419598679223,0.05708178643934217,0.8498859085353014,0.0017555889250922205,0.9775253484971191,0.19068877551020408,0.11814413265306123,0.9532045493857468,0.250797193877551,0.9320497669216069,0.2735969387755102,0.5924855133064866,0.667762161956942,0.9663579720525795,22.942665576934814,0.8886516392230988,0.18078414723277092,0.10818027394243834,0.32289975465398424,0.17578842734514485,0.9866224287926104,0.13888050799367524,0.578877329826355,0.9739616513252258,0.9989722073078156,0.12083395943045616,0.3266957253217697,0.17506377551020408,2.123104989528656,0.00940688775510204,1.0,0.0,0.18035714285714288,3.3115535974502563,179.2643679452409,667.6036376953125,2.8799126148223877,0.04001360386610031,8.0
real_1998_01_01.png,early_reference,b0_j95_s0.7_n4_g1.1,0.0,95,0.7,4.0,1.1,0.004090262885257939,0.06390581245030794,0.9409757720043463,0.003290787453357937,0.05732039218749786,0.852248646929092,0.002460869557461925,0.9795237370864718,0.18654336734693877,0.11415816326530612,0.9538692514189822,0.23421556122448978,0.9296382438082809,0.27598852040816324,0.5891881934136782,0.6636325754775445,0.9705283946943857,21.72829294204712,0.8508124500513077,0.19723991677165031,0.108436531298541,0.3140867806467358,0.193939016072113,0.9856363379021564,0.13319552489830358,0.5813723802566528,0.9713940918445587,0.9993239343166351,0.11905934661626816,0.32592378556728363,0.16533801020408162,2.1062499284744263,0.011001275510204082,1.0,0.0,0.17426948051948052,3.3175827264785767,186.55051890813724,752.6170349121094,2.905730366706848,0.01902589900419116,8.0
real_1998_01_01.png,early_reference,b0_j75_s1_n0_g0.9,0.0,75,1.0,0.0,0.9,0.006167635372569908,0.07848894791606517,0.9522951505188357,0.0038194682967107904,0.06171604754656826,0.8544610419877652,0.002795565337357614,0.9386112748775006,0.08753188775510204,0.05628188775510204,0.9742214234189955,0.18845663265306123,0.9398192992603611,0.257015306122449,0.5488155448326753,0.6409790138504634,0.9660505380233129,22.856914043426514,0.8955798149108887,0.20170891284942627,0.10816810848754477,0.3234011909846639,0.3628011990015999,0.9798465929829221,0.14711263929591292,0.6539421379566193,0.9779954850673676,0.9979879558086395,0.13006873428821564,0.31780992448329926,0.14301658163265307,1.821931004524231,0.009885204081632654,1.0,0.0,0.1791396103896104,3.425691246986389,47.15261498911586,640.0188293457031,1.7178325653076172,0.13959503918886185,8.0
real_1998_01_01.png,early_reference,b0_j75_s1_n0_g1.1,0.0,75,1.0,0.0,1.1,0.005948155114446584,0.07708547768075436,0.9502411052873707,0.00365226064375524,0.06036879712300687,0.8504532592842339,0.0024834690062293316,0.9397513230137691,0.08992346938775511,0.0546875,0.9728395205082404,0.18925382653061223,0.9414932344995347,0.25956632653061223,0.560027480016841,0.6448291007124083,0.9682267781402645,21.75495672225952,0.8617516309022903,0.2097058705985546,0.10856799820196392,0.3190703412196254,0.35016297139497893,0.980416748059306,0.14745651458511905,0.6469347476959229,0.9730868935585022,0.9978764951229095,0.12969909608364105,0.31819701194763184,0.16214923469387754,1.8721875548362732,0.012276785714285714,1.0,0.0,0.17751623376623377,3.4203414916992188,58.27830521259045,817.7665710449219,1.8008736371994019,0.13353858888149261,8.0
