file,path,group,year,glcm_asm_d1,glcm_energy_d1,glcm_correlation_d1,glcm_asm_d3,glcm_energy_d3,glcm_correlation_d3,glcm_energy_angle_iqr_d3,lbp_r1_hist_entropy,lbp_r1_nonuniform_fraction,lbp_r1_flat_fraction,lbp_r2_hist_entropy,lbp_r2_nonuniform_fraction,lbp_r3_hist_entropy,lbp_r3_nonuniform_fraction,local_entropy_r3,local_entropy_r5,shannon_entropy_q32,gabor_f08_energy,gabor_f16_energy,gabor_f24_energy,gabor_f08_anisotropy,gabor_f16_anisotropy,gabor_f24_anisotropy,gradient_orientation_entropy,gradient_orientation_anisotropy,structure_tensor_coherence,structure_tensor_coherence_p90,hog_orientation_entropy,hog_orientation_anisotropy,hog_mean_energy,black_tophat_density_r3,black_tophat_std_r3,blob_log_density,blob_log_radius_median,harris_corner_density,dog_zero_cross_density,morph_gradient_std,q_laplacian_var,q_tenengrad,q_noise_sigma,q_jpeg_blockiness,q_patch_count
real_1998_01_01.png,simple-test/test-real/real_1998_01_01.png,early_reference,1998,0.005653525046382199,0.07516967215505371,0.9481240296759557,0.0037337230877253894,0.0610304179890623,0.8531651016555373,0.002471891100230425,0.9675522282445257,0.11527423469387754,0.06855867346938777,0.9691031986642811,0.20838647959183673,0.9287680849071491,0.27311862244897955,0.5635320132046503,0.6461933127589436,0.9677690362021472,22.3984055519104,0.8785107880830765,0.21061384677886963,0.10832586288221674,0.32261233341301876,0.2046262995948877,0.9809245764198339,0.14081170667259763,0.602310061454773,0.9744982421398163,0.9981923401355743,0.12492360547184944,0.321312740445137,0.16868622448979592,1.8772976398468018,0.011798469387755101,1.0,0.0,0.17345779220779223,3.318257451057434,67.18357422688463,774.7279968261719,2.0793861150741577,0.06367667019367218,8.0
real_1999_01_11.png,simple-test/test-real/real_1999_01_11.png,early_reference,1999,0.0022223401548140797,0.04707991224414672,0.6417368615095158,0.0019960530495133424,0.04464571656144259,0.47124028238014926,0.0003513149978716032,0.9785928971344002,0.19323979591836735,0.10331632653061225,0.9137614887227561,0.28762755102040816,0.8666078824198875,0.35666454081632654,0.7234373035222436,0.8146269168403578,0.9603469693193689,24.845151901245117,0.9578817188739777,0.2779954895377159,0.10815520098968849,0.32371867216385375,0.28052793870893455,0.9920964540689079,0.12478256135681014,0.5148831903934479,0.9597851932048798,0.9993703365325928,0.11892709881067276,0.32673513889312744,0.16645408163265307,4.871429681777954,0.02535076530612245,1.0,0.0,0.20478896103896105,4.139295816421509,278.3436155243746,1159.7263793945312,3.72822904586792,0.0,8.0
real_1999_07_01.png,simple-test/test-real/real_1999_07_01.png,early_reference,1999,0.004244755297361772,0.06513859169550945,0.9105789424552536,0.003041244969968388,0.055082605896988934,0.8214145096147252,0.0013655609268683998,0.9754085939534991,0.19355867346938777,0.11256377551020408,0.9500775270566089,0.24569515306122447,0.9269954006615947,0.2834821428571429,0.6240872199351233,0.7157449904381866,0.9722071082782409,19.313064098358154,0.8303488045930862,0.2218226045370102,0.11025171162639263,0.3200024049241805,0.2745025506726918,0.9899701764730375,0.1272089844899846,0.6230424046516418,0.9520527422428131,0.9990695118904114,0.12255792319774628,0.32152409851551056,0.17506377551020408,2.517451524734497,0.016741071428571428,1.0,0.0,0.16128246753246755,3.9600573778152466,317.7880828870132,1404.518798828125,3.8220269680023193,0.0,8.0
real_1999_08_12 (2).png,simple-test/test-real/real_1999_08_12 (2).png,early_reference,1999,0.002768674067024546,0.05258790203104497,0.8237443028517232,0.0021979744694142775,0.046879441806339295,0.6817196019208505,0.0015361819015789445,0.9761579295092537,0.19626913265306123,0.11240433673469388,0.9279068014745251,0.2788584183673469,0.9076936654260463,0.32621173469387754,0.6860996903376826,0.7829097951740234,0.965296894155975,23.545127391815186,0.9213806092739105,0.25004867836833,0.10793226997010619,0.3186459740599996,0.3340525256231184,0.9843489224782367,0.13329047354895865,0.5706077814102173,0.9644381701946259,0.9990513622760773,0.1214243471622467,0.32419678568840027,0.1669323979591837,3.440441370010376,0.018494897959183673,1.0,0.0,0.18051948051948052,4.1143810749053955,259.1345272802999,1158.4241333007812,3.673267960548401,0.0,8.0
real_1999_08_12.png,simple-test/test-real/real_1999_08_12.png,early_reference,1999,0.004379884317209588,0.06603331442226433,0.8954345069167766,0.003320266957618975,0.05758058502511064,0.8312946290831257,0.0007617732220509231,0.976757514609587,0.18734056122448978,0.11224489795918367,0.9453475908538616,0.2590880102040816,0.9264670365158084,0.29910714285714285,0.6188490012031096,0.7037443789833266,0.9632143778706778,22.139774799346924,0.8728064596652985,0.1930072009563446,0.10912790102596667,0.3374862167917968,0.2711580585909419,0.9869702752075677,0.13597650506854642,0.6113585829734802,0.9693822860717773,0.9991001784801483,0.12222767993807793,0.3190876543521881,0.16565688775510204,2.703103184700012,0.011798469387755101,1.0,0.0,0.1666396103896104,3.7773704528808594,209.49430835093125,1331.293701171875,3.1062891483306885,0.006720482837408781,8.0
real_1999_08_16(2).png,simple-test/test-real/real_1999_08_16(2).png,early_reference,1999,0.004846169409639426,0.06954211596883608,0.9080609941610255,0.003313604509571264,0.05755993400311908,0.7895948850390315,0.0021038549023853076,0.9828838133416233,0.133609693877551,0.0738201530612245,0.9724688493575508,0.20471938775510204,0.9401185337052614,0.2763073979591837,0.6179915871497065,0.7053680252466548,0.9617080763993588,21.826377391815186,0.8737014383077621,0.22907043993473053,0.10783330706893256,0.3097369263134668,0.29684533921637785,0.9863941664750269,0.13599002616226136,0.6352666020393372,0.9717306792736053,0.9985807538032532,0.12424501404166222,0.3198322057723999,0.14126275510204084,2.694178819656372,0.01674107142857143,1.0,0.0,0.1680194805194805,4.2960028648376465,108.40233292077195,1077.1536865234375,2.504474639892578,0.0,8.0
real_1999_08_16.png,simple-test/test-real/real_1999_08_16.png,early_reference,1999,0.0033973238287016414,0.05824337013544872,0.8075650673236764,0.0025102217857013364,0.05009850707898489,0.6427384029986107,0.000804748314657322,0.987982430668336,0.1455676020408163,0.07908163265306123,0.9406264972623624,0.26546556122448983,0.8790263120707184,0.35235969387755106,0.6755669871911549,0.7619120429641126,0.9633159049969688,22.23167657852173,0.8841360658407211,0.27368299663066864,0.10891977473198856,0.3072460145497641,0.24268746798739735,0.9895539153704478,0.12706093265938917,0.5332019031047821,0.9568840265274048,0.9994159936904907,0.11971775442361832,0.3252365440130234,0.1682079081632653,3.5863531827926636,0.02295918367346939,1.0,0.0,0.1960227272727273,4.116309404373169,135.71751368855098,1117.18017578125,3.0038323402404785,0.019952960195951164,8.0
real_1999_09_01(2).png,simple-test/test-real/real_1999_09_01(2).png,early_reference,1999,0.004125579751229791,0.06417963461858558,0.8890158514600516,0.0029412366565620407,0.05422817504756784,0.770001591602074,0.0022044758536881176,0.9826846236026536,0.14269770408163265,0.078125,0.9713878003319386,0.21556122448979592,0.9394843875003419,0.28156887755102045,0.6240827295473463,0.7170204745712122,0.9601688473743875,22.212706089019775,0.8481868952512741,0.18660909309983253,0.10764422106619345,0.33179323328933763,0.46514647289250965,0.985422567675195,0.13434387287169394,0.6084297299385071,0.9799817204475403,0.9986728429794312,0.12510517239570618,0.32256393134593964,0.16980229591836735,2.7367767095565796,0.009088010204081632,1.0,0.0,0.17159090909090907,3.910549283027649,67.16822616024248,571.9253845214844,1.8998211026191711,0.001444492256268859,8.0
real_1999_09_01.png,simple-test/test-real/real_1999_09_01.png,early_reference,1999,0.006124449847471954,0.07817418474017798,0.9481001260273141,0.003600619254247654,0.060002686676289135,0.8445808970243847,0.0017910018652253223,0.9396713123136582,0.0894451530612245,0.049585459183673464,0.9750375803075952,0.18590561224489796,0.944306205871577,0.2702487244897959,0.5612178166438093,0.6560870498028757,0.967351613618713,24.52583360671997,0.9336096793413162,0.16216101124882698,0.10810516004071788,0.33134459668186544,0.2214477261698236,0.9864916833387359,0.13299200725075883,0.6435120105743408,0.9815713465213776,0.9983402192592621,0.12581554800271988,0.3193862587213516,0.15481505102040816,1.8927080631256104,0.005899234693877551,2.0,0.0,0.1721590909090909,3.600068211555481,24.09668294135256,561.3338623046875,1.4771729707717896,0.0,8.0
real_1999_09_08.png,simple-test/test-real/real_1999_09_08.png,early_reference,1999,0.007678637743602342,0.08756205762712202,0.9561690335212627,0.004782642175034118,0.06899397966568409,0.8578396787480622,0.003141827745584018,0.9301522889308094,0.08896683673469388,0.05117984693877551,0.970167527271973,0.18223852040816327,0.9414886124040647,0.26626275510204084,0.5458785717620624,0.6362253157026299,0.9641796110610085,24.295498371124268,0.9529919922351837,0.1931944414973259,0.10784702435126822,0.3358681971384019,0.3799891647024141,0.9787767795391786,0.1577764109536644,0.6780865490436554,0.981822282075882,0.9973942339420319,0.12936584651470184,0.31897155940532684,0.16629464285714285,2.1192100644111633,0.0074936224489795915,1.25,0.0,0.16728896103896104,3.795330286026001,33.97670765232911,788.85205078125,1.7294321656227112,0.0,8.0
real_1999_10_19.png,simple-test/test-real/real_1999_10_19.png,early_reference,1999,0.0045145844019938595,0.06718965440014442,0.9128776298486212,0.003801251813365132,0.061628797158248975,0.8570657502421559,0.002284255818451087,0.9633723447394167,0.21316964285714285,0.12755102040816327,0.953850250139296,0.249202806122449,0.9370540970303589,0.2566964285714286,0.591579265737666,0.6684352215437064,0.9392903124421552,23.037673950195312,0.8932698220014572,0.17575781792402267,0.10854607211616882,0.3323442853133351,0.36757884386901607,0.9764236596824372,0.1435564685194355,0.6135200560092926,0.9615222215652466,0.9989911615848541,0.12123353034257889,0.3236130326986313,0.16294642857142855,2.035685956478119,0.00860969387755102,1.0,0.0,0.15974025974025974,3.170407295227051,323.8104913052992,1167.3704833984375,3.601150631904602,0.001423936220817268,8.0
